Shipment Date,Str Nbr,Supplier,Weight,Carrier X Cost,Carrier Y Cost
2014-08-04,1,A,15551,2540,1866.12
2014-08-04,1,B,15687,1200,1098.0900000000001
2014-08-04,2,A,14128,1640,988.9600000000002
2014-08-04,2,B,21049,1200,1262.94
2014-08-11,1,A,16671,2540,2000.52
2014-08-11,1,B,14425,1200,1009.7500000000001
2014-08-11,2,A,13172,1640,922.0400000000001
2014-08-11,2,B,16733,1200,1003.98
2014-08-18,1,A,15800,2540,1896.0
2014-08-18,1,B,14791,1200,1035.3700000000001
2014-08-18,2,A,11660,1640,816.2
2014-08-18,2,B,19729,1200,1183.74
2014-08-25,1,A,14935,2540,1792.2
2014-08-25,1,B,20775,1200,1454.2500000000002
2014-08-25,2,A,11269,1640,788.83
2014-08-25,2,B,28693,1200,1721.58
2014-09-01,1,A,15082,2540,1809.84
2014-09-01,1,B,16152,1200,1130.64
2014-09-01,2,A,14437,1640,1010.5900000000001
2014-09-01,2,B,16824,1200,1009.4399999999999
2014-09-08,1,A,13352,2540,1602.24
2014-09-08,1,B,16974,1200,1188.18
2014-09-08,2,A,11697,1640,818.7900000000001
2014-09-08,2,B,18044,1200,1082.6399999999999
2014-09-15,1,A,15394,2540,1847.28
2014-09-15,1,B,19049,1200,1333.43
2014-09-15,2,A,15032,1640,1052.24
2014-09-15,2,B,23647,1200,1418.82
2014-09-22,1,A,14601,2540,1752.12
2014-09-22,1,B,15895,1200,1112.65
2014-09-22,2,A,11112,1640,777.84
2014-09-22,2,B,18891,1200,1133.46
2014-09-29,1,A,12973,2540,1556.76
2014-09-29,1,B,15770,1200,1103.9
2014-09-29,2,A,10847,1640,759.2900000000001
2014-09-29,2,B,21198,1200,1271.8799999999999
2014-10-06,1,A,15712,2540,1885.4399999999998
2014-10-06,1,B,16915,1200,1184.0500000000002
2014-10-06,2,A,12247,1640,857.2900000000001
2014-10-06,2,B,17936,1200,1076.1599999999999
2014-10-13,1,A,13728,2540,1647.36
2014-10-13,1,B,17015,1200,1191.0500000000002
2014-10-13,2,A,11606,1640,812.4200000000001
2014-10-13,2,B,18086,1200,1085.1599999999999
2014-10-20,1,A,15927,2540,1911.24
2014-10-20,1,B,15687,1200,1098.0900000000001
2014-10-20,2,A,14049,1640,983.4300000000001
2014-10-20,2,B,21065,1200,1263.8999999999999
2014-10-27,1,A,13166,2540,1579.9199999999998
2014-10-27,1,B,17314,1200,1211.98
2014-10-27,2,A,9325,1640,652.7500000000001
2014-10-27,2,B,23514,1200,1410.84
2014-11-03,1,A,14426,2540,1731.12
2014-11-03,1,B,16318,1200,1142.2600000000002
2014-11-03,2,A,12604,1640,882.2800000000001
2014-11-03,2,B,19530,1200,1171.8
2014-11-10,1,A,18369,2540,2204.2799999999997
2014-11-10,1,B,15563,1200,1089.41
2014-11-10,2,A,15840,1640,1108.8000000000002
2014-11-10,2,B,20875,1200,1252.5
2014-11-17,1,A,14727,2540,1767.24
2014-11-17,1,B,14923,1200,1044.6100000000001
2014-11-17,2,A,13255,1640,927.8500000000001
2014-11-17,2,B,14990,1200,899.4
2014-11-24,1,A,15464,2540,1855.6799999999998
2014-11-24,1,B,15994,1200,1119.5800000000002
2014-11-24,2,A,12482,1640,873.7400000000001
2014-11-24,2,B,16600,1200,996.0
2014-12-01,1,A,16962,2540,2035.4399999999998
2014-12-01,1,B,15886,1200,1112.0200000000002
2014-12-01,2,A,16275,1640,1139.25
2014-12-01,2,B,18907,1200,1134.4199999999998
2014-12-08,1,A,15174,2540,1820.8799999999999
2014-12-08,1,B,14824,1200,1037.68
2014-12-08,2,A,12098,1640,846.8600000000001
2014-12-08,2,B,19804,1200,1188.24
2014-12-15,1,A,17101,2540,2052.12
2014-12-15,1,B,17065,1200,1194.5500000000002
2014-12-15,2,A,14450,1640,1011.5000000000001
2014-12-15,2,B,18185,1200,1091.1
2014-12-22,1,A,16617,2540,1994.04
2014-12-22,1,B,17579,1200,1230.5300000000002
2014-12-22,2,A,16339,1640,1143.73
2014-12-22,2,B,21431,1200,1285.86
2014-12-29,1,A,19060,2540,2287.2
2014-12-29,1,B,17447,1200,1221.2900000000002
2014-12-29,2,A,18894,1640,1322.5800000000002
2014-12-29,2,B,23697,1200,1421.82
2015-01-05,1,A,17004,2540,2040.48
2015-01-05,1,B,19339,1200,1353.73
2015-01-05,2,A,14337,1640,1003.5900000000001
2015-01-05,2,B,24053,1200,1443.1799999999998
2015-01-12,1,A,13920,2540,1670.3999999999999
2015-01-12,1,B,14558,1200,1019.0600000000001
2015-01-12,2,A,10745,1640,752.1500000000001
2015-01-12,2,B,14459,1200,867.54
2015-01-19,1,A,14616,2540,1753.9199999999998
2015-01-19,1,B,12566,1200,879.6200000000001
2015-01-19,2,A,11748,1640,822.3600000000001
