Shipment Date,Order Dt,Str Nbr,Supplier,Order Qty,Product Weight,Weight
2014-08-04,2014-08-04,1,A,4338.0,2.2,15551.0
2014-08-04,2015-01-26,1,B,1742.0,8.3,15687.0
2014-08-04,2015-01-26,2,B,2311.0,8.3,21049.0
2014-08-04,2015-02-02,1,A,4174.0,2.2,15551.0
2014-08-04,2015-02-02,1,A,5324.0,1.2,15551.0
2014-08-04,2015-02-02,2,A,2843.0,2.2,14128.0
2014-08-04,2014-08-11,2,A,5048.0,1.2,14128.0
2014-08-04,2015-02-02,2,A,6268.0,1.2,14128.0
2014-08-04,2015-02-02,1,B,1971.0,8.3,15687.0
2014-08-04,2015-02-02,2,B,2065.0,8.3,21049.0
2014-08-04,2015-02-09,1,A,5559.0,1.2,15551.0
2014-08-04,2015-02-09,2,A,4081.0,2.2,14128.0
2014-08-04,2015-02-09,2,A,5892.0,1.2,14128.0
2014-08-04,2015-02-09,1,B,2174.0,8.3,15687.0
2014-08-04,2015-02-09,2,B,2669.0,8.3,21049.0
2014-08-04,2015-02-16,1,A,4099.0,2.2,15551.0
2014-08-04,2015-02-16,1,A,4954.0,1.2,15551.0
2014-08-04,2015-02-16,2,A,3390.0,2.2,14128.0
2014-08-04,2015-02-16,2,A,4390.0,1.2,14128.0
2014-08-04,2015-02-16,1,B,2338.0,8.3,15687.0
2014-08-04,2015-02-16,2,B,3206.0,8.3,21049.0
2014-08-04,2015-02-23,1,A,4059.0,2.2,15551.0
2014-08-04,2015-02-23,1,A,5290.0,1.2,15551.0
2014-08-04,2014-08-11,2,A,3234.0,2.2,14128.0
2014-08-04,2015-02-23,2,A,2438.0,2.2,14128.0
2014-08-04,2015-02-23,2,A,4835.0,1.2,14128.0
2014-08-04,2015-07-27,2,A,7368.0,1.2,14128.0
2014-08-04,2015-02-23,1,B,2070.0,8.3,15687.0
2014-08-04,2015-01-26,2,A,5568.0,1.2,14128.0
2014-08-04,2015-01-26,1,A,5337.0,1.2,15551.0
2014-08-04,2014-12-29,1,A,6522.0,1.2,15551.0
2014-08-04,2014-12-29,2,A,4294.0,2.2,14128.0
2014-08-04,2014-12-29,2,A,7873.0,1.2,14128.0
2014-08-04,2014-12-29,1,B,2102.0,8.3,15687.0
2014-08-04,2014-12-29,2,B,2855.0,8.3,21049.0
2014-08-04,2015-01-05,1,A,4702.0,2.2,15551.0
2014-08-04,2015-01-05,1,A,5550.0,1.2,15551.0
2014-08-04,2015-01-05,2,A,3319.0,2.2,14128.0
2014-08-04,2015-01-05,2,A,5863.0,1.2,14128.0
2014-08-04,2015-01-05,1,B,2330.0,8.3,15687.0
2014-08-04,2015-01-05,2,B,2898.0,8.3,21049.0
2014-08-04,2015-01-12,1,A,4031.0,2.2,15551.0
2014-08-04,2015-01-12,1,A,4210.0,1.2,15551.0
2014-08-04,2015-01-12,2,A,3024.0,2.2,14128.0
2014-08-04,2015-01-12,2,A,3410.0,1.2,14128.0
2014-08-04,2015-01-12,1,B,1754.0,8.3,15687.0
2014-08-04,2014-08-11,1,B,1738.0,8.3,15687.0
2014-08-04,2015-01-12,2,B,1742.0,8.3,21049.0
2014-08-04,2015-01-19,1,A,4338.0,2.2,15551.0
2014-08-04,2015-01-19,1,A,4227.0,1.2,15551.0
2014-08-04,2015-01-19,2,A,2688.0,2.2,14128.0
2014-08-04,2015-01-19,2,A,4862.0,1.2,14128.0
