Shipment Date,Str Nbr,Supplier,Weight,Carrier,Carrier X Cost,Carrier Y Cost
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,2,A,14128.0,X,1640.0,
2014-08-04,2,A,14128.0,Y,,988.9600000000002
2014-08-04,1,B,15687.0,X,1200.0,
2014-08-04,1,B,15687.0,Y,,1098.0900000000001
2014-08-04,2,B,21049.0,X,1200.0,
2014-08-04,2,B,21049.0,Y,,1262.94
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,1,A,15551.0,X,2540.0,
2014-08-04,1,A,15551.0,Y,,1866.12
2014-08-04,2,A,14128.0,X,1640.0,
